Character,Pinyin,Tones,Rhythm
恸,tong4,仄,去声一送
门,men2,平,上平十三元
展,zhan3,仄,上声十六铣
答,da2,仄,入声十五合
诉,su4,仄,去声七遇
铎,duo2,仄,入声十药
螂,lang2,平,下平七阳
迤,yi3,平、仄,上平四支、下平五歌、上声四纸
桠,ya2,平,下平六麻
升,sheng1,平,下平十蒸
勿,wu4,仄,入声五物
蝴,hu2,平,上平七虞
缜,zhen1,仄,上声十一轸
砧,zhen1,平,下平十二侵
箱,xiang1,平,下平七阳
鹏,peng2,平,下平十蒸
研,yan2,平、仄,下平一先、去声十七霰
狎,xia2,仄,入声十六叶
泣,qi4,仄,入声十四缉
灿,can4,仄,去声十五翰
掬,ju2,仄,入声一屋
俞,yu2,平,上平七虞
蜉,fu2,平,下平十一尤
革,ge2,仄,入声十一陌
妍,yan2,平,下平一先
嵘,rong2,平,下平八庚
鬓,bin4,仄,去声十二震
岘,xian4,仄,上声十六铣
邻,lin2,平,上平十一真
讥,ji1,平,上平五微
颗,ke1,仄,上声二十哿
娱,yu2,平,上平七虞
畿,ji1,平,上平五微
草,cao3,仄,上声十九皓
孰,shu2,仄,入声一屋
宋,song4,仄,去声二宋
怏,yang4,仄,上声二十二养、去声二十三漾
装,zhuang1,平,下平七阳
伉,kang4,仄,去声二十三漾
众,zhong4,仄,去声一送
痊,quan2,平,下平一先
渣,zha1,平、仄,去声二十二祃、下平六麻
述,shu4,仄,入声四质
蒻,ruo4,仄,入声十药
司,si1,平、仄,上平四支、去声四寘
鸢,yuan1,平,下平一先
钊,zhao1,平,下平二萧
疵,ci1,平,上平四支
施,shi1,平、仄,上平四支、去声四寘
姨,yi2,平,上平四支
缕,lv3,仄,上声七麌
稻,dao4,仄,上声十九皓
狒,fei4,仄,去声五未
纵,zong4,平、仄,去声二宋、上平二冬、上声一董
矜,jin1,平,上平十一真、上平十五删、下平十蒸
践,jian4,仄,上声十六铣
坳,ao4,平、仄,去声十九效、下平三肴
介,jie4,仄,去声十卦
筛,shai1,平,上平九佳、上平四支
挛,luan2,平,下平一先
赧,nan3,仄,上声十五潸
物,wu4,仄,入声五物
溢,yi4,仄,入声四质
谨,jin3,仄,上声十二吻
缔,di4,平、仄,上平八齐、去声八霁
筹,chou2,平,下平十一尤
奥,ao4,仄,去声二十号
合,he2,仄,入声十五合
头,tou2,平,下平十一尤
涣,huan4,仄,去声十五翰
宴,yan4,仄,去声十五翰、上声十六铣、去声十七霰
拇,mu3,仄,上声二十五有、上声七麌
夫,fu1,平,上平七虞
陂,bei1,平、仄,上平四支、去声四寘
珠,zhu1,平,上平七虞
蚌,bang4,仄,上声三讲
膺,ying1,平,下平十蒸
绥,sui1,平,上平四支
音,yin1,平,下平十二侵
函,han2,平,下平十五咸、下平十三覃
餮,tie4,仄,入声九屑
鍊,lian4,仄,去声十七霰
樯,qiang2,平,下平七阳
一,yi1,仄,入声四质
煮,zhu3,仄,上声六语
刷,shua1,仄,入声八黠、入声九屑
灯,deng1,平,下平十蒸
北,bei3,仄,去声十一队、入声十三职
抹,mo3,仄,入声七曷
尾,wei3,仄,上声五尾
讶,ya4,仄,去声二十二祃
巍,wei1,平,上平五微、上平十灰
恧,nv4,仄,入声一屋、入声十三职
慑,she4,仄,入声十五合
琦,qi2,平,上平四支
宗,zong1,平,上平二冬
鹞,yao4,平、仄,去声十八啸、下平二萧
悟,wu4,仄,去声七遇
赭,zhe3,仄,上声二十一马
武,wu3,仄,上声七麌
霖,lin2,平,下平十二侵
差,cha4,平、仄,上平九佳、上平四支、去声二十二祃、下平六麻
巫,wu1,平,上平七虞
蹶,jue2,仄,去声八霁、入声六月
姣,jiao1,平、仄,上声十八巧、下平三肴
辇,nian3,仄,上声十六铣
狼,lang2,平,下平七阳
腼,mian3,仄,上声十六铣
赓,geng1,平,下平八庚
皲,jun1,平,上平十二文
弄,nong4,仄,去声一送
阂,he2,仄,去声十一队
铲,chan3,仄,去声十六谏、上声十六铣、上声十五潸
丹,dan1,平,上平十四寒
讨,tao3,仄,上声十九皓
螽,zhong1,平,上平一东
悯,min3,仄,上声十一轸
湮,yin1,平,上平十一真、下平一先
酥,su1,平,上平七虞
儡,lei3,平、仄,上平十灰、上声十贿
造,zao4,仄,去声二十号、上声十九皓
橹,lu3,仄,上声七麌
蕈,xun4,仄,上声二十六寝
坞,wu4,仄,上声七麌
剑,jian4,仄,去声三十陷、去声二十九艳
踪,zong1,平,上平二冬
牌,pai2,平,上平九佳
玩,wan2,仄,去声十五翰
吴,wu2,平,上平七虞
死,si3,仄,上声四纸
醇,chun2,平,上平十一真
度,du4,仄,入声十药、去声七遇
获,huo4,仄,入声十一陌、入声十药
带,dai4,仄,去声九泰
甘,gan1,平,下平十三覃
钜,ju4,仄,上声六语
漪,yi1,平,上平四支
机,ji1,平、仄,上平五微、上声四纸
尊,zun1,平,上平十三元
嶙,lin2,平、仄,上声十一轸、上平十一真
首,shou3,仄,上声二十五有、去声二十六宥
戌,xu1,仄,入声四质
争,zheng1,平,下平八庚
再,zai4,仄,去声十一队
