Character,Tang_diversity,Song_diversity,Yuan_diversity,Ming_diversity,Qing_diversity,Subtlex_diversity
恸,94,496,60,422,358,13
门,6966,32598,6803,36261,15902,5498
展,519,2944,546,2520,2092,3512
答,343,5571,836,7444,2302,4404
诉,133,1144,242,780,1688,6150
铎,61,403,100,726,244,21
螂,12,93,17,80,59,122
迤,200,691,176,1042,485,1
桠,4,18,2,11,9,1
升,688,5097,892,4940,1699,2162
勿,457,5096,714,2445,1237,234
蝴,61,637,143,704,543,219
缜,8,97,4,518,39,14
砧,291,716,144,1101,760,27
箱,103,570,44,445,474,2454
鹏,224,1366,300,1831,1030,11
研,84,845,196,599,517,1882
狎,173,534,108,1018,384,4
泣,645,2323,670,2846,1855,408
灿,24,467,226,784,835,176
掬,74,715,119,495,392,5
俞,16,1924,129,970,1514,11
蜉,32,170,35,307,156,7
革,82,678,152,502,457,596
妍,239,2404,433,1741,1723,20
嵘,104,1271,187,651,356,2
鬓,1233,8086,1545,7071,4677,34
岘,153,558,85,352,150,4
邻,1312,7364,1368,5700,2700,1267
讥,49,754,87,302,206,48
颗,76,836,181,483,343,1390
娱,261,2069,408,1891,922,669
畿,91,370,84,1374,213,10
草,5509,24104,6297,29532,13755,1987
孰,213,3188,637,2077,1116,35
宋,664,6041,1883,3454,2438,78
怏,18,32,16,50,53,5
装,243,1703,213,1505,1240,5028
伉,20,42,12,78,58,3
众,1015,6349,1060,3973,2470,2810
痊,22,139,16,83,42,168
渣,1,5,2,41,33,398
述,195,1502,550,2998,1676,1521
蒻,3,57,4,14,20,1
司,1607,5382,831,6445,1661,3838
鸢,82,669,148,673,346,8
钊,7,11,2,3,36,1
疵,59,305,54,104,76,114
施,649,3745,516,2566,1548,1858
姨,18,122,41,148,181,547
缕,310,2298,472,1440,2914,65
稻,280,2321,406,1402,857,134
狒,10,5,6,5,8,28
纵,891,5834,1054,4868,3575,895
矜,238,1210,185,1089,764,29
践,176,920,140,586,362,226
坳,25,312,65,289,215,4
介,104,1688,218,1293,746,3610
筛,11,262,30,84,155,126
挛,21,206,19,57,40,103
赧,8,61,15,53,39,1
物,3010,21222,3183,12720,5479,5603
溢,164,940,150,784,279,255
谨,38,1288,175,820,434,635
缔,12,134,20,167,121,58
筹,185,1373,281,1688,1102,744
奥,51,526,139,231,246,1701
合,2652,11186,2032,10197,4941,5632
头,4228,32223,6616,26070,14600,6092
涣,73,188,54,166,76,14
宴,1455,4085,921,4178,1572,744
拇,2,19,6,22,38,229
夫,2124,14241,2456,13842,4551,4537
陂,234,1621,258,991,628,1
珠,1833,8708,2170,10096,6992,776
蚌,55,364,47,279,132,16
膺,149,840,160,876,322,6
绥,39,245,48,387,156,3
音,1362,8408,1664,8102,4062,4546
函,220,1064,257,5312,828,157
餮,1,43,6,25,45,8
鍊,280,895,245,1061,242,1
樯,152,932,169,986,604,1
一,16476,139731,21467,107060,59325,6240
煮,173,1980,484,1275,766,542
刷,69,244,65,230,121,860
灯,1448,10237,1949,10299,6645,2141
北,3627,18809,4151,20749,8519,1709
抹,36,915,153,569,754,677
尾,407,3674,668,2130,2091,1822
讶,163,842,211,1770,737,1225
巍,79,1013,214,1539,476,12
恧,9,48,8,56,35,1
慑,26,153,19,122,89,58
琦,6,846,763,144,588,27
宗,1028,7695,1695,7567,2285,977
鹞,14,105,12,78,47,4
悟,394,3120,1017,2024,1050,289
赭,40,383,72,318,210,3
武,1790,7872,1612,7552,3487,2026
霖,170,1724,255,1510,939,4
差,683,4069,722,3313,2238,4558
巫,466,1181,354,1379,761,531
蹶,32,215,43,250,180,40
姣,2,29,8,67,33,5
辇,343,1053,349,1448,540,1
狼,281,1450,444,1567,1123,749
腼,5,98,13,80,55,32
赓,27,1033,125,753,370,1
皲,1,43,9,14,21,1
弄,796,5703,966,4407,2525,4850
阂,10,28,5,20,12,48
铲,8,52,23,65,72,303
丹,2230,12482,3563,13672,4460,899
讨,119,958,214,814,408,4152
螽,6,61,11,63,24,1
悯,77,480,60,401,292,250
湮,26,180,37,244,148,32
酥,44,752,121,307,409,120
儡,4,60,23,82,126,84
造,522,7303,772,2671,1537,4064
橹,95,770,154,523,586,3
蕈,6,39,7,13,4,3
坞,141,1266,218,1073,453,624
剑,1649,5621,1607,9438,3499,476
踪,467,2830,594,4211,2320,2631
牌,21,266,36,196,186,2453
玩,453,2217,552,2004,764,5545
吴,2149,14651,4365,16781,9784,70
死,1700,9842,1962,6792,4868,6029
醇,43,1070,120,1333,429,238
度,1817,11265,2562,13077,6187,5042
获,173,1512,248,1155,654,2954
带,1792,8982,1707,9856,4916,6062
甘,888,7611,1244,6134,3029,607
钜,16,309,134,299,178,1
漪,68,922,199,708,398,15
