,Character,Modern_pinyin,Modern_tone,Ancient_tone,Ancient_rhyme
0,恸,tong,仄,仄,去声一送
1,门,men,平,平,上平十三元
2,展,zhan,仄,仄,上声十六铣
3,答,da,平,仄,入声十五合
4,诉,su,仄,仄,去声七遇
5,铎,duo,平,仄,入声十药
6,螂,lang,平,平,下平七阳
7,迤,yi,仄,平、仄,上平四支、下平五歌、上声四纸
8,桠,ya,平,平,下平六麻
9,升,sheng,平,平,下平十蒸
10,勿,wu,仄,仄,入声五物
11,蝴,hu,平,平,上平七虞
12,缜,zhen,平,仄,上声十一轸
13,砧,zhen,平,平,下平十二侵
14,箱,xiang,平,平,下平七阳
15,鹏,peng,平,平,下平十蒸
16,研,yan,平,平、仄,下平一先、去声十七霰
17,狎,xia,平,仄,入声十六叶
18,泣,qi,仄,仄,入声十四缉
19,灿,can,仄,仄,去声十五翰
20,掬,ju,平,仄,入声一屋
21,俞,yu,平,平,上平七虞
22,蜉,fu,平,平,下平十一尤
23,革,ge,平,仄,入声十一陌
24,妍,yan,平,平,下平一先
25,嵘,rong,平,平,下平八庚
26,鬓,bin,仄,仄,去声十二震
27,岘,xian,仄,仄,上声十六铣
28,邻,lin,平,平,上平十一真
29,讥,ji,平,平,上平五微
30,颗,ke,平,仄,上声二十哿
31,娱,yu,平,平,上平七虞
32,畿,ji,平,平,上平五微
33,草,cao,仄,仄,上声十九皓
34,孰,shu,平,仄,入声一屋
35,宋,song,仄,仄,去声二宋
36,怏,yang,仄,仄,上声二十二养、去声二十三漾
37,装,zhuang,平,平,下平七阳
38,伉,kang,仄,仄,去声二十三漾
39,众,zhong,仄,仄,去声一送
40,痊,quan,平,平,下平一先
41,渣,zha,平,平、仄,去声二十二祃、下平六麻
42,述,shu,仄,仄,入声四质
43,蒻,ruo,仄,仄,入声十药
44,司,si,平,平、仄,上平四支、去声四寘
45,鸢,yuan,平,平,下平一先
46,钊,zhao,平,平,下平二萧
47,疵,ci,平,平,上平四支
48,施,shi,平,平、仄,上平四支、去声四寘
49,姨,yi,平,平,上平四支
50,缕,lv,仄,仄,上声七麌
51,稻,dao,仄,仄,上声十九皓
52,狒,fei,仄,仄,去声五未
53,纵,zong,仄,平、仄,去声二宋、上平二冬、上声一董
54,矜,jin,平,平,上平十一真、上平十五删、下平十蒸
55,践,jian,仄,仄,上声十六铣
56,坳,ao,仄,平、仄,去声十九效、下平三肴
57,介,jie,仄,仄,去声十卦
58,筛,shai,平,平,上平九佳、上平四支
59,挛,luan,平,平,下平一先
60,赧,nan,仄,仄,上声十五潸
61,物,wu,仄,仄,入声五物
62,溢,yi,仄,仄,入声四质
63,谨,jin,仄,仄,上声十二吻
64,缔,di,仄,平、仄,上平八齐、去声八霁
65,筹,chou,平,平,下平十一尤
66,奥,ao,仄,仄,去声二十号
67,合,he,平,仄,入声十五合
68,头,tou,平,平,下平十一尤
69,涣,huan,仄,仄,去声十五翰
70,宴,yan,仄,仄,去声十五翰、上声十六铣、去声十七霰
71,拇,mu,仄,仄,上声二十五有、上声七麌
72,夫,fu,平,平,上平七虞
73,陂,bei,平,平、仄,上平四支、去声四寘
74,珠,zhu,平,平,上平七虞
75,蚌,bang,仄,仄,上声三讲
76,膺,ying,平,平,下平十蒸
77,绥,sui,平,平,上平四支
78,音,yin,平,平,下平十二侵
79,函,han,平,平,下平十五咸、下平十三覃
80,餮,tie,仄,仄,入声九屑
81,鍊,lian,仄,仄,去声十七霰
82,樯,qiang,平,平,下平七阳
83,一,yi,平,仄,入声四质
84,煮,zhu,仄,仄,上声六语
85,刷,shua,平,仄,入声八黠、入声九屑
86,灯,deng,平,平,下平十蒸
87,北,bei,仄,仄,去声十一队、入声十三职
88,抹,mo,仄,仄,入声七曷
89,尾,wei,仄,仄,上声五尾
90,讶,ya,仄,仄,去声二十二祃
91,巍,wei,平,平,上平五微、上平十灰
92,恧,nv,仄,仄,入声一屋、入声十三职
93,慑,she,仄,仄,入声十五合
94,琦,qi,平,平,上平四支
95,宗,zong,平,平,上平二冬
96,鹞,yao,仄,平、仄,去声十八啸、下平二萧
97,悟,wu,仄,仄,去声七遇
98,赭,zhe,仄,仄,上声二十一马
99,武,wu,仄,仄,上声七麌
100,霖,lin,平,平,下平十二侵
101,差,cha,仄,平、仄,上平九佳、上平四支、去声二十二祃、下平六麻
102,巫,wu,平,平,上平七虞
103,蹶,jue,平,仄,去声八霁、入声六月
104,姣,jiao,平,平、仄,上声十八巧、下平三肴
105,辇,nian,仄,仄,上声十六铣
106,狼,lang,平,平,下平七阳
107,腼,mian,仄,仄,上声十六铣
108,赓,geng,平,平,下平八庚
109,皲,jun,平,平,上平十二文
110,弄,nong,仄,仄,去声一送
111,阂,he,平,仄,去声十一队
112,铲,chan,仄,仄,去声十六谏、上声十六铣、上声十五潸
113,丹,dan,平,平,上平十四寒
114,讨,tao,仄,仄,上声十九皓
115,螽,zhong,平,平,上平一东
116,悯,min,仄,仄,上声十一轸
117,湮,yin,平,平,上平十一真、下平一先
118,酥,su,平,平,上平七虞
119,儡,lei,仄,平、仄,上平十灰、上声十贿
120,造,zao,仄,仄,去声二十号、上声十九皓
121,橹,lu,仄,仄,上声七麌
122,蕈,xun,仄,仄,上声二十六寝
123,坞,wu,仄,仄,上声七麌
124,剑,jian,仄,仄,去声三十陷、去声二十九艳
125,踪,zong,平,平,上平二冬
126,牌,pai,平,平,上平九佳
127,玩,wan,平,仄,去声十五翰
128,吴,wu,平,平,上平七虞
129,死,si,仄,仄,上声四纸
130,醇,chun,平,平,上平十一真
131,度,du,仄,仄,入声十药、去声七遇
132,获,huo,仄,仄,入声十一陌、入声十药
133,带,dai,仄,仄,去声九泰
134,甘,gan,平,平,下平十三覃
135,钜,ju,仄,仄,上声六语
136,漪,yi,平,平,上平四支
137,机,ji,平,平、仄,上平五微、上声四纸
138,尊,zun,平,平,上平十三元
139,嶙,lin,平,平、仄,上声十一轸、上平十一真
140,首,shou,仄,仄,上声二十五有、去声二十六宥
141,戌,xu,平,仄,入声四质
142,争,zheng,平,平,下平八庚
143,再,zai,仄,仄,去声十一队
144,压,ya,平,仄,入声十六叶
145,菱,ling,平,平,下平十蒸
146,褪,tun,仄,仄,去声十四愿
147,平,ping,平,平,下平一先、下平八庚
148,沤,ou,仄,平、仄,去声二十六宥、下平十一尤
149,旅,lv,仄,仄,上声六语
150,哓,xiao,平,平,下平二萧
151,法,fa,仄,仄,入声十六叶
152,冈,gang,平,平,下平七阳
153,裆,dang,平,平,下平七阳
154,叮,ding,平,平,下平九青
155,嫂,sao,仄,仄,上声十九皓
156,所,suo,仄,仄,上声六语
157,雾,wu,仄,仄,去声七遇
158,盏,zhan,仄,仄,上声十五潸
159,技,ji,仄,仄,去声四寘、上声四纸
160,掉,diao,仄,仄,去声十八啸、上声十七筱
161,蹩,bie,平,仄,入声九屑
162,催,cui,平,平,上平十灰
163,唵,an,仄,仄,上声二十七感
164,忍,ren,仄,仄,上声十一轸
165,华,hua,平,平、仄,去声二十二祃、下平六麻
166,贾,jia,仄,仄,去声二十二祃、上声二十一马、上声七麌
167,论,lun,仄,平、仄,上平十一真、去声十四愿、上平十三元
168,泰,tai,仄,仄,去声九泰
169,茨,ci,平,平,上平四支
170,汲,ji,平,仄,入声十四缉
171,宵,xiao,平,平,下平二萧
