,Charcter,Frequency,log_frequency,Frequency_per_million,CD,Log_CD,Strokes,Tone,Rhyme
0,云,249915,5.397792323440279,4852.951671,208321,5.318733051630032,4.0,平,上平十二文
1,髻,3435,3.5359267413955693,66.70223472,3365,3.526985068559996,16.0,仄,去声八霁
2,高,127914,5.106918079975169,2483.886362,112007,5.049245165227106,10.0,平,下平四豪
3,梳,3219,3.5077209766856137,62.50785839,3139,3.4967913157000425,11.0,平,上平六鱼
4,鬓,23345,4.368193878266824,453.3227568,22886,4.359569893603762,20.0,仄,去声十二震
5,不,497715,5.696980729590844,9664.833407,324858,5.511693566231678,4.0,平/仄,下平十一尤 上声二十五有 入声五物 入声六月
6,分,67965,4.832285321234867,1319.772164,62013,4.792482741698998,4.0,平/仄,上平十二文 去声十三问
7,扫,14651,4.165867268352943,284.49910939999995,14243,4.153601474288411,6.0,仄,上声十九皓 去声二十号
8,除,13197,4.1204752166965255,256.2647428,12728,4.104760166638525,9.0,平/仄,上平六鱼 去声六御
9,虚,36375,4.560803001993964,706.3446253,33850,4.529558673021163,11.0,平,上平六鱼
10,室,17310,4.2382970678753935,336.1326588,16476,4.21685178328438,9.0,仄,入声四质
11,事,121313,5.083907342711158,2355.705444,105724,5.024173586024794,8.0,仄,去声四寘
12,元,32300,4.509202522331104,627.2146088999998,29485,4.4696011321138265,4.0,平,上平十三元
13,君,143947,5.158202618175392,2795.221712,108740,5.036389328665692,7.0,平,上平十二文
14,新,100395,5.001712084059182,1949.511166,91283,4.9603899046577045,13.0,平,上平十一真
15,糊,1875,3.2730012720637376,36.40951677,1846,3.266231696689893,15.0,平,上平七虞
16,白,142234,5.153003423731231,2761.957978,124628,5.095615625624742,5.0,仄,入声十一陌
17,纸,9312,3.9690429673058127,180.8242241,8947,3.951677437343301,7.0,仄,上声四纸
18,屏,14295,4.1551841596940085,277.58615580000003,13788,4.139501274735911,9.0,平/仄,下平九青 上声二十三梗
19,风,339987,5.531462311347542,6602.006601,282793,5.451468655128404,4.0,平,上平一东
20,上,169922,5.230249611123669,3299.614884,144808,5.160792555368602,3.0,仄,上声二十二养 去声二十三漾
21,尽,86801,4.938524728540321,1685.5373149999998,78519,4.894974759888139,6.0,仄,上声十一轸
22,画,45069,4.653877921964921,875.1682726,40540,4.6078837443569896,8.0,仄,去声十卦 入声十一陌
23,蓬,23789,4.376376186315962,461.94453030000005,22763,4.357229498390283,13.0,平,上平一东
24,莱,10832,4.034708651341068,210.3402057,10483,4.020485585796552,10.0,平,上平十灰
25,五,63378,4.801938530173492,1230.699922,56715,4.753697936418217,4.0,仄,上声七麌
26,色,82188,4.914808412257522,1595.960194,75833,4.87985823728254,6.0,仄,入声十三职
27,山,322612,5.508680517537929,6264.611746000001,247097,5.392867472673003,3.0,平,上平十五删
28,摇,19588,4.291990095346182,380.3677944,18411,4.2650773780035935,13.0,平/仄,下平二萧 去声十八啸
29,光,89182,4.950277207632609,1731.772546,80179,4.904060635386814,6.0,平,下平七阳
30,入,83929,4.9239120485978045,1629.767644,76643,4.884472495782731,2.0,仄,入声十四缉
31,袖,14577,4.163668153782669,283.0621472,14204,4.152410663629579,10.0,仄,去声二十六宥
32,凉,39924,4.601234046916447,775.2605586,37739,4.576790388138512,10.0,平,下平七阳
33,松,55234,4.742206495605057,1072.5564,50310,4.701654317325748,8.0,平,上平二冬
34,阴,57888,4.76258854517972,1124.092857,52274,4.7182857335291954,6.0,平,下平十二侵
35,十,82591,4.916932724520216,1603.7858130000006,72189,4.858471025779403,2.0,仄,入声十四缉
36,丈,14068,4.148232359644905,273.178177,13391,4.126813010041554,3.0,仄,上声二十二养
37,印,7151,3.8543667780408697,138.8610424,6723,3.827563111254724,5.0,仄,去声十二震
38,回,80324,4.904845327473661,1559.76428,73953,4.868955796412949,6.0,平/仄,上平十灰 去声十一队
39,廊,5880,3.7693773260761385,114.1802446,5774,3.7614767795447017,11.0,平,下平七阳
40,老,123046,5.090067500150456,2389.357547,108521,5.035513787047547,6.0,仄,上声十九皓
41,僧,23509,4.371234155976554,456.5073758,21588,4.334212409393176,14.0,平,下平十蒸
42,读,17084,4.232589562754788,331.7440984,16070,4.206015876763344,10.0,仄,去声二十六宥 入声一屋
43,罢,16707,4.222898472609422,324.4233582,16261,4.211147249814492,10.0,平/仄,上平四支 上声九蟹 去声二十二祃
44,楞,564,2.751279103983342,10.95198264,551,2.741151598851785,13.0,平,下平十蒸
45,严,12392,4.093141404751149,240.6329236,11812,4.072323438293041,7.0,平,下平十四盐 下平十五咸
46,咒,554,2.74350976472843,10.75779855,533,2.7267272090265724,8.0,仄,去声二十六宥
47,一,372549,5.571183401997288,7234.308833,277967,5.443993239915942,1.0,,
48,殿,17040,4.231469590430681,330.8896883999999,15817,4.199124114623325,13.0,仄,去声十七霰
49,神,60000,4.778151250383644,1165.104537,51184,4.709134222740032,9.0,平,上平十一真
50,柏,9737,3.988425170006303,189.0770479,9279,3.9675011747228415,9.0,仄,入声十一陌
51,子,136901,5.1364066204707015,2658.3996030000008,109487,5.039362556039773,3.0,仄,上声四纸
