Character,Raw_Tang,Raw_Song,Raw_Yuan,Raw_Ming,Raw_Qing,Raw_Subtlex,PerMillion_Tang,PerMillion_Song,PerMillion_Yuan,PerMillion_Ming,PerMillion_Qing,PerMillion_Subtlex
恸,99,502,60,431,366,13,29.397432802368186,23.065809004533442,14.526279856044567,22.096448485514035,35.503950445021644,0.2774956986565772
门,7996,37558,7711,41716,18418,25908,2374.3623503811723,1725.7084752834003,1866.8690661659944,2138.690127660565,1786.644151083084,553.0275815995847
展,533,3028,562,2590,2144,8372,158.2710271076994,139.13001925443677,136.0628213182841,132.78376236074558,207.97942555772246,178.70722993483568
答,352,5704,844,7546,2337,11907,104.52420551953134,262.0864035096788,204.33633664169358,386.86728601319936,226.70145407108086,254.1647141464511
诉,139,1177,246,809,1737,65753,41.275183429587656,54.0805920285575,59.55774740978273,41.47570028951474,168.4982566202257,1403.5518979819938
铎,61,413,100,732,245,122,18.11356970650969,18.976452428032495,24.210466426740943,37.52807492203312,23.766305625765856,2.604190402777109
螂,12,105,17,87,62,281,3.5633251881658405,4.824521803737074,4.115779292545961,4.4603039866350835,6.014330403255034,5.998176255576783
迤,202,699,177,1057,493,1,59.98264066745832,32.11753086487824,42.85252557533148,54.190130044520494,47.82362723878599,0.021345822973582857
桠,4,18,2,11,9,1,1.187775062721947,0.8270608806406413,0.48420932853481885,0.5639464810688037,0.8730479617628274,0.021345822973582857
升,730,5338,926,5095,1767,4362,216.76894894675533,245.2694989366524,224.18891911162115,261.2097564586868,171.40841649276845,93.11047981076842
勿,519,5630,786,2806,1406,287,154.1138143881726,258.68626433371173,190.29426611418384,143.85762053446027,136.3894926931706,6.12625119341828
蝴,61,658,145,737,558,446,18.11356970650969,30.233669970085668,35.10517631877437,37.784414231609844,54.128973629295295,9.520237046217956
缜,8,98,4,520,40,14,2.375550125443894,4.50288701682127,0.9684186570696377,26.65928819597981,3.8802131633903443,0.29884152163016003
砧,302,743,152,1149,798,31,89.677017235507,34.13923523977759,36.799908968646236,58.906773340732315,77.41025260963737,0.6617205121810685
箱,106,575,44,452,487,5936,31.476039162131595,26.420000353798265,10.652605227766015,23.173073585736297,47.241595264277436,126.70880517118785
鹏,227,1391,309,1857,1040,15,67.40623480947049,63.91342694284067,74.81034125862952,95.20441957679712,100.88554224814895,0.3201873446037429
研,86,885,201,619,540,4263,25.537163848521857,40.663826631498196,48.663037517749295,31.734806525599044,52.382877705769644,90.99724333638373
狎,177,538,108,1034,387,4,52.55904652544615,24.719930765814723,26.147303740880222,53.010969220467544,37.54106235580158,0.08538329189433143
泣,675,2403,681,2996,1960,563,200.43704183432854,110.41262756552563,164.87327636610584,153.598514298376,190.13044500612685,12.017698334127148
灿,28,536,266,906,866,232,8.314425439053629,24.628035112410206,64.3998406951309,46.448682895303286,84.00661498740095,4.952230929871223
掬,74,724,119,501,397,5,21.973838660356016,33.266226532434686,28.810455047821723,25.68519881958824,38.51111564664916,0.10672911486791428
俞,20,2006,135,1002,1531,48,5.938875313609735,92.17134036472925,32.68412967610028,51.37039763917648,148.5151588287654,1.024599502731977
蜉,32,174,36,312,157,18,9.502200501775576,7.994921846192866,8.71576791362674,15.995572917587884,15.2298366663071,0.38422481352449145
革,83,704,154,521,480,1043,24.6463325514804,32.347269998389535,37.28411829718105,26.710556057895158,46.56255796068413,22.263693361446922
妍,240,2474,448,1771,1758,243,71.26650376331682,113.67492326138593,108.46288959179942,90.7953834520774,170.53536853100564,5.187034982580635
嵘,105,1289,188,651,357,2,31.179095396451107,59.226748619210376,45.51567688227298,33.37537810689011,34.630902483258815,0.042691645947165714
鬓,1270,8226,1567,7228,4814,50,377.11858241421817,377.9668224527731,379.37800890703056,370.56410592411936,466.9836542140279,1.067291148679143
岘,170,619,92,386,158,7,50.480440165682744,28.44170472869761,22.273629112601668,19.789394699323474,15.326841995391858,0.14942076081508002
邻,1394,7797,1451,6051,2898,2127,413.9396093585985,358.2552047975045,351.2938678520111,310.22183244975736,281.1214436876304,45.40256546481074
讥,50,767,87,311,208,59,14.847188284024336,35.241983080631776,21.063105791264622,15.94430505567254,20.17710844962979,1.2594035554413887
颗,82,978,208,601,405,2525,24.34938878579991,44.936974514808185,50.35777016762116,30.811985011122818,39.28715827932723,53.89820300829671
娱,265,2108,410,1927,942,925,78.69009790532898,96.85801868835955,99.26291234963787,98.79316991087133,91.37901999784259,19.744886250564143
畿,91,374,92,1417,218,15,27.021882676924292,17.184487186644436,22.273629112601668,72.64656033404499,21.147161740477376,0.3201873446037429
草,6061,27316,7191,33301,15585,3811,1799.77616378943,1255.1108341988756,1740.9746407469413,1707.2710696429301,1511.828053785963,81.34893135232427
孰,240,3494,692,2276,1211,56,71.26650376331682,160.54170649768892,167.53642767304734,116.68565371932702,117.47345352164267,1.1953660865206401
宋,1814,305592,1955,3683,2587,340,538.6559909444029,14041.288257596383,473.31461864278543,188.81953543421855,250.9527863422705,7.2575798110181715
怏,26,43,22,74,79,10,7.7205379076926555,1.9757565481970878,5.326302613883008,3.7938217817355886,7.663420997695929,0.21345822973582856
装,246,1740,222,1529,1289,17633,73.04816635739974,79.94921846192865,53.747235467364895,78.3885608685637,125.03986919025384,376.3908964931865
伉,22,43,12,78,60,3,6.5327628449707085,1.9757565481970878,2.9052559712089137,3.998893229396971,5.820319745085516,0.06403746892074856
众,1131,7080,1132,4257,2727,7370,335.8433989846305,325.31061305198557,274.0624799507075,218.24728817362703,264.5335324141367,157.31871531530567
痊,22,139,16,83,42,195,6.5327628449707085,6.386747911613841,3.873674628278551,4.255232538973701,4.074223821559862,4.162435479848657
渣,1,5,2,42,34,600,0.29694376568048675,0.22973913351128925,0.48420932853481885,2.153250200444523,3.2981811888817925,12.807493784149713
述,199,1553,553,3043,1721,2432,59.09180937041686,71.35697486860644,133.8838793398774,156.0081038083972,166.94617135486953,51.91304147175351
蒻,3,59,4,14,20,2,0.8908312970414601,2.7109217754332136,0.9684186570696377,0.717750066814841,1.9401065816951721,0.042691645947165714
司,1703,5597,900,7234,1800,15818,505.69523295386887,257.16998605253724,217.89419784066848,370.8717130956114,174.60959235256547,337.64822779613365
鸢,94,675,150,721,353,14,27.91271397396575,31.01478302402405,36.31569964011142,36.964128440964316,34.24288116691979,0.29884152163016003
钊,7,12,2,3,36,1,2.0786063597634072,0.5513739204270942,0.48420932853481885,0.15380358574603736,3.4921918470513096,0.021345822973582857
疵,60,308,54,107,77,130,17.816625940829205,14.151930624295417,13.073651870440111,5.485661224942,7.469410339526412,2.7749569865657717
施,701,3978,539,2711,1671,3264,208.1575797420212,182.78045462158173,130.49441404013368,138.98717365250243,162.09590490063164,69.67276618577445
姨,21,125,45,167,189,1249,6.235819079290222,5.743478337782231,10.894709892033426,8.561732939862747,18.334007197019375,26.66093289400499
缕,323,2409,493,1549,3169,75,95.91283631479722,110.68831452573917,119.35759948383286,79.41391810687064,307.4098878696,1.6009367230187141
稻,301,2415,416,1456,897,208,89.38007346982651,110.96400148595272,100.71554033524232,74.64600694874346,87.01378018902847,4.439931178505235
狒,16,5,6,8,11,107,4.751100250887788,0.22973913351128925,1.4526279856044568,0.4101428953227663,1.0670586199323446,2.284003058173366
纵,939,6054,1088,5057,3716,1393,278.830195973977,278.16814285546906,263.4098747229415,259.2615777059037,360.471802878963,29.73473140220092
矜,245,1229,189,1115,777,35,72.75122259171926,56.4698790170749,45.757781546540386,57.163666035610554,75.37314069885743,0.7471038040754001
践,176,934,144,606,365,276,52.26210275976567,42.915270139908834,34.86307165450696,31.06832432069955,35.406945115936885,5.891447140708869
坳,25,315,70,294,221,5,7.423594142012168,14.473565411211224,16.947326498718663,15.072751403111662,21.438177727731652,0.10672911486791428
介,111,1785,226,1355,771,7696,32.96075799053402,82.01687066353027,54.715654124434536,69.46795289529355,74.79110872434889,164.27745360469368
筛,13,269,30,96,159,144,3.8602689538463277,12.359965382907362,7.263139928022284,4.921714743873196,15.423847324476617,3.0737985081959316
挛,21,207,19,57,42,164,6.235819079290222,9.511200127367374,4.599988621080779,2.9222681291747103,4.074223821559862,3.5007149676675886
