Character,唐Left_Entropy,唐Right_Entropy,宋Left_Entropy,宋Right_Entropy,元Left_Entropy,元Right_Entropy,明Left_Entropy,明Right_Entropy,清Left_Entropy,清Right_Entropy,CaiLeft_Entropy,CaiRight_Entropy
恸,5.442380828751864,3.2351730830977248,6.619826555409209,4.983188023731457,5.166292837387425,3.359228661926254,6.955829199675153,5.038278023159042,6.3010780746543,5.670723580749036,1.2957378005380122,3.085055102756477
门,7.902313061844967,8.906874104644327,8.410112684207679,9.17591021963736,7.951434126385602,8.8167400778983,7.885107747102126,9.344439946663435,8.158235272717837,9.29388757259143,6.525142762363971,7.799093596390359
展,7.666006011617191,7.328466755823039,8.819127968937357,8.014015643971488,7.930483023600647,6.810743290142364,9.00713224909005,7.8809940175089075,8.650603364219485,8.181387905244415,5.675034467788755,5.729511384434386
答,6.148515142643788,6.341714180918562,6.376991248306448,8.167942783666641,5.4226026012131525,7.288870485395647,6.437318574637157,7.790265093978243,6.362349095361878,7.907292041849037,4.9960037626657945,4.399064033164208
诉,5.569638507327163,5.889834263304836,7.218999330449085,7.965604120791149,6.172120130259239,6.864711895798486,7.075901610884533,7.753825196133829,7.4030745618078,8.189646061553951,0.6384242012490975,3.415477098103815
铎,4.414286625038004,5.6356553703497685,5.403630042742059,7.0971633190192565,4.866384657076178,5.970845316324723,5.020057578542186,8.092603100450589,5.531710793675456,6.870790923215084,2.221184540806708,5.028018278112537
螂,0.9456603046006402,2.9139770731827523,1.5400294514623754,5.450003313598354,0.8683927290103626,3.577819531114783,1.2545227579762483,5.5760389933211245,1.2344083545944504,5.394309137239127,0.7345313844097644,6.305874460363667
迤,1.6106939455029956,6.799342162801289,5.637537503420375,4.756450213039053,4.2071565346004505,5.104847133004853,3.795356803590212,7.017751252470258,5.3970800515021615,5.3629895730586,-0.0,-0.0
桠,0.8112781244591328,1.5,2.855953642864355,3.725480556997868,1.0,1.0,2.9139770731827523,2.9139770731827523,1.6577427265048887,2.503258334775646,-0.0,-0.0
升,8.062297825194852,6.5297603780690565,8.773828223587648,7.517234925455843,8.236047444080404,6.473180312580918,7.639746799654835,8.055497710815297,8.36574829542715,7.080945548460724,5.708812554227524,5.375399355225436
勿,7.373794028942941,6.502665452232298,8.711046053308806,8.084712061424542,6.873288690526685,7.421202735784899,8.236123244101552,7.614347202635603,8.036068496681885,7.863638444969043,3.749888688975634,5.548603500911309
蝴,5.079533134249985,-0.0,6.989606963332395,0.0919873935643988,5.725048287921034,-0.0,6.972106856685791,0.1811504423437279,7.087724254694119,-0.0,5.790783140388106,-0.0
缜,2.75,2.1556390622295662,3.782290501904602,5.3934053491248815,2.0,2.0,0.8837324948804407,7.486372161934536,3.560791295540501,4.612814895472354,2.556656707462824,-0.0
砧,6.158987984671464,5.956378763807049,6.414925481969973,6.62562861475578,5.684002308109089,5.003624480917706,6.539585223807438,6.273592283952322,6.403171521829068,6.343136178834554,2.8745110099857625,2.910381909216189
箱,4.916978911811418,5.907728083756599,5.317873028297531,7.83564037701467,3.8747718212163473,5.113649565593692,4.89464389434064,7.762081168894176,5.181603214358192,7.738421434842755,5.817498965137168,5.566949569696598
鹏,5.740823141060348,6.316641501602929,7.511072971232071,6.475700854631707,6.28220400932813,6.033289570555272,6.017977914095435,7.780374763287946,4.885277089393167,5.064962414675646,2.789898095464288,3.773557262275185
研,5.853947534366359,5.800980597599572,7.764884854655149,7.333316489886185,6.920365017345016,6.182763274600751,7.44756113453432,7.365478755469395,7.658358939418663,7.396610055119417,6.825084318450737,1.1833031776694427
狎,6.824011499456485,5.881293963903791,7.428403859462594,6.330691284714706,5.954680239315588,5.692970401292532,8.115966523006938,7.31649047108077,7.563630532235376,6.316573998979487,2.0,1.5
泣,7.856952188983563,7.664224269936398,8.50149569343626,8.576423076518678,7.465703855098458,7.781023312252309,8.619098530573533,8.619222638342373,8.331850786923615,8.650700739622614,1.2360475911398068,5.945623852356023
灿,4.378783493486177,3.3598790287368607,6.948857414770877,6.033218474743457,5.098409127955908,5.682359553842921,7.157636610060955,6.29598808740231,5.642246651304822,7.851791973235658,5.381912587933805,1.6146769400749412
掬,3.6268309840303954,5.302719436583304,4.5345570774256405,7.3604251107806675,3.62269512063371,6.138493001368867,3.8881062576650094,7.269479714651211,3.921816658295649,7.324326059711656,0.7219280948873623,2.321928094887362
俞,3.846439344671015,3.846439344671016,6.249018711914761,6.809241449142919,5.159691913318077,5.507640812967579,7.322283013751176,5.998936533386332,7.047947368077064,4.749729027523665,4.584147917027247,2.0779838939678936
蜉,4.375,0.7310644431995964,4.137337134070052,3.7992668176275552,4.027719015921097,1.2565514220339902,6.717630603702192,1.1338575386841938,5.256021471383776,2.068520284160591,3.68354236243323,0.3095434291503252
革,4.35111328456999,5.869015334961387,6.817267236117812,7.761825249121194,4.30252947260531,6.552071483227049,5.867385437845286,7.581631266258931,5.885267535418018,6.947330257102042,5.63538580665008,4.59356600919014
妍,7.01113429566198,6.622434465674907,7.158501680390649,8.602590742286162,6.312535992352098,7.507515404505151,7.301163235088852,8.828074659431495,6.017697575906438,6.6045705927938725,3.9994427735368014,5.244325958586749
嵘,0.1641343332046879,6.362108951235997,0.1875308304415124,8.595750919075245,-0.0,6.915243500667503,0.1331137024805568,8.124716025152651,0.3259747928619373,7.533547097816703,-0.0,-0.0
鬓,7.334305844674792,7.386560203659514,7.608824833860142,7.437840703926269,7.059815238532777,6.760247433431505,7.424042217650676,7.64498971529888,7.813115280125099,7.543058060504774,3.950115251893511,2.592431189728882
岘,6.500683978205248,2.8200311175236297,7.110347401777425,3.594597770400159,5.465295897553617,3.4983324262784827,7.34929454728086,3.2959478175185506,6.108239688330301,3.73659484911955,2.5216406363433186,-0.0
邻,6.837294732667745,8.094186822293072,8.104309412966455,8.558086154432056,7.355554822244664,7.79200753869763,7.79153342436097,8.683203939815602,8.030574249649492,8.169917696182779,5.7678084832407785,1.243074503107664
讥,5.004886164091842,5.186704345910023,7.580437163478134,7.627009323322871,5.628595449608119,5.634855359144425,6.805407009274662,7.223500482643493,6.651615369448172,6.725935369114143,4.573742510131366,2.049837883909708
颗,4.20682806257939,5.679385657368854,5.246063074655721,7.218050017653699,4.355774011061573,6.0825901433870735,5.034556889356841,6.702978934193045,5.000918277009844,6.805450853766839,3.632951088025347,7.10621917379906
娱,2.674719680344802,7.001241806950642,6.138826034542027,8.186336502643922,5.787080795895847,6.763363920689088,6.325698173994076,8.126043904470112,6.166436727867123,7.795871461827375,6.313274362352002,0.3964294408829686
畿,3.806089659879745,5.928519501570984,5.033418628771159,7.1969354699295645,4.503854645306751,4.9234321631096885,4.047189926016766,8.471662211397616,5.846780107923879,5.529451335043287,1.3699740752745009,1.3752793655393791
草,8.136056298336571,8.333827637327355,8.820495151768757,8.365726073778731,8.329939863181638,8.083832189579216,8.533929742230768,8.519257738782997,8.225763367245216,8.700434040482317,6.8820982364743175,6.831523039438968
孰,7.292790270669989,4.603685634447794,9.456796469546823,6.600127192069383,8.28898749512487,6.215023245196204,9.094662803230175,6.36070286045693,8.85809431044179,6.90893431006424,4.610577243331645,3.6431861827734857
宋,7.62997843451238,4.905183338375751,8.317018451997269,5.5025567989950455,7.781195852704481,3.977885333167674,8.785974644475365,7.034421651037253,8.422932797406613,7.264351940458439,6.581224256452082,5.54921347773818
怏,3.1736606896881856,3.523856189774724,4.069536509321164,3.971975533711408,2.810446901403825,3.332095398660169,3.782763562996307,4.363916309371285,4.085024600062683,4.118152288100539,1.0,1.0
